event,time,gender,age,became_member_on,income,reward,difficulty,duration,offer_type,is_viewed,web_channel,mobile_channel,social_channel
offer completed,618,M,44,20160111,72000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,282,M,59,20171016,77000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,594,O,52,20160306,80000.0,5.0,20.0,10.0,discount,1.0,1,0,0
offer completed,348,O,52,20160306,80000.0,3.0,7.0,7.0,discount,0.0,1,1,1
offer completed,576,O,52,20160306,80000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,54,O,52,20160306,80000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,582,F,58,20180630,102000.0,2.0,10.0,7.0,discount,0.0,1,1,0
offer completed,582,F,58,20180630,102000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
offer completed,414,F,58,20180630,102000.0,2.0,10.0,10.0,discount,0.0,1,1,1
transaction,258,M,33,20171222,42000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,384,M,33,20171222,42000.0,2.0,10.0,10.0,discount,0.0,1,1,1
transaction,222,M,28,20171003,35000.0,0.0,0.0,4.0,informational,1.0,1,1,0
transaction,558,M,28,20171003,35000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,594,M,47,20170225,86000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,336,M,47,20170225,86000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,180,M,47,20170225,86000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,48,M,47,20170225,86000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,342,F,22,20161115,49000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,204,F,22,20161115,49000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,408,F,22,20161115,49000.0,2.0,10.0,10.0,discount,0.0,1,1,1
transaction,642,M,34,20180519,38000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,360,M,34,20180519,38000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,120,M,34,20180519,38000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,204,M,34,20180519,38000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,564,M,53,20180515,73000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,60,M,53,20180515,73000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,564,M,53,20180515,73000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,564,M,53,20180128,40000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,30,M,53,20180128,40000.0,3.0,7.0,7.0,discount,0.0,1,1,1
offer completed,438,M,53,20180128,40000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
transaction,318,M,53,20180128,40000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,246,F,58,20171211,115000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,438,F,58,20171211,115000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,642,F,58,20171211,115000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,36,F,58,20171211,115000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,354,F,58,20171211,115000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,504,F,58,20171211,115000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,102,M,22,20151224,32000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,582,M,22,20151224,32000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
transaction,180,M,22,20151224,32000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,582,M,22,20151224,32000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,414,M,22,20151224,32000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,504,M,71,20161229,75000.0,2.0,10.0,7.0,discount,0.0,1,1,0
offer completed,84,M,71,20161229,75000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,504,M,71,20161229,75000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,666,M,71,20161229,75000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,192,M,45,20180125,88000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,708,M,45,20180125,88000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,36,F,82,20141211,33000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,426,F,82,20141211,33000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,624,M,40,20161018,65000.0,5.0,20.0,10.0,discount,1.0,1,0,0
transaction,594,M,40,20161018,65000.0,0.0,0.0,3.0,informational,1.0,0,1,1
transaction,702,M,35,20180226,70000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,324,M,35,20180226,70000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,342,M,35,20180226,70000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,432,M,73,20160417,45000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,576,M,73,20160417,45000.0,3.0,7.0,7.0,discount,0.0,1,1,1
transaction,48,M,73,20160417,45000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,372,M,73,20160417,45000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,522,M,55,20160731,94000.0,2.0,10.0,7.0,discount,0.0,1,1,0
offer completed,198,M,55,20160731,94000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,12,M,55,20160731,94000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,522,M,55,20160731,94000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,708,M,60,20170816,74000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,546,M,45,20180114,52000.0,0.0,0.0,3.0,informational,1.0,0,1,1
transaction,666,M,45,20180114,52000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,240,M,45,20180114,52000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,174,M,57,20170415,80000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,6,M,57,20170415,80000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,60,F,56,20180223,91000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,336,F,56,20180223,91000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
transaction,354,M,55,20161115,104000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,432,M,55,20161115,104000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,600,M,55,20161115,104000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,384,M,19,20160725,50000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,102,M,19,20160725,50000.0,3.0,7.0,7.0,discount,0.0,1,1,1
offer completed,414,M,19,20160725,50000.0,5.0,5.0,5.0,bogo,0.0,1,1,1
offer completed,384,M,19,20160725,50000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,378,F,68,20170328,32000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,12,F,68,20170328,32000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,360,F,68,20170328,32000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,594,F,68,20170328,32000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
transaction,594,F,68,20170328,32000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
transaction,618,M,52,20180501,38000.0,3.0,7.0,7.0,discount,0.0,1,1,1
offer completed,390,M,52,20180501,38000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,84,M,52,20180501,38000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,204,M,57,20170821,55000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,450,M,57,20170821,55000.0,0.0,0.0,4.0,informational,1.0,1,1,0
transaction,96,M,57,20170821,55000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,366,F,86,20180412,109000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,276,F,86,20180412,109000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,444,F,86,20180412,109000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
offer completed,516,F,86,20180412,109000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,540,F,54,20170917,117000.0,0.0,0.0,4.0,informational,1.0,1,1,0
transaction,474,F,54,20170917,117000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,168,F,54,20170917,117000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
offer completed,36,F,54,20170917,117000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,108,M,58,20141024,54000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,330,M,58,20141024,54000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,456,M,58,20141024,54000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,600,M,58,20141024,54000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
offer completed,384,M,58,20141024,54000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,216,F,86,20170622,73000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,432,F,86,20170622,73000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,396,F,86,20170622,73000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,336,M,67,20170821,79000.0,5.0,20.0,10.0,discount,1.0,1,0,0
transaction,60,M,67,20170821,79000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,222,M,67,20170821,79000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
transaction,432,M,70,20180301,60000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,234,M,70,20180301,60000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,630,M,70,20180301,60000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,210,F,61,20151010,118000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,108,F,61,20151010,118000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,438,F,61,20151010,118000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,606,F,61,20151010,118000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,342,F,61,20151010,118000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,510,F,61,20151010,118000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,84,F,52,20160324,115000.0,0.0,0.0,4.0,informational,1.0,1,1,0
transaction,468,F,52,20160324,115000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,204,F,52,20160324,115000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
offer completed,348,F,52,20160324,115000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,234,F,70,20171109,76000.0,5.0,20.0,10.0,discount,1.0,1,0,0
offer completed,432,F,70,20171109,76000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,0,F,70,20171109,76000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,504,F,70,20171109,76000.0,5.0,5.0,5.0,bogo,0.0,1,1,1
offer completed,12,M,56,20160322,99000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,618,M,56,20160322,99000.0,2.0,10.0,7.0,discount,1.0,1,1,0
offer completed,618,M,56,20160322,99000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,186,M,56,20160322,99000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,708,F,44,20170118,35000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,372,F,44,20170118,35000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,204,M,46,20180710,35000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,408,M,46,20180710,35000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
transaction,372,M,46,20180710,35000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,714,M,46,20180710,35000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,342,F,84,20171014,74000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,648,F,84,20171014,74000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,576,M,22,20180317,57000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
transaction,486,M,22,20180317,57000.0,0.0,0.0,3.0,informational,1.0,0,1,1
transaction,90,M,22,20180317,57000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,600,M,62,20150902,90000.0,5.0,20.0,10.0,discount,1.0,1,0,0
offer completed,336,M,62,20150902,90000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,600,M,62,20150902,90000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,108,F,57,20180601,79000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,450,F,57,20180601,79000.0,0.0,0.0,3.0,informational,1.0,0,1,1
transaction,210,M,24,20140518,56000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,510,M,24,20140518,56000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,12,M,24,20140518,56000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,318,F,66,20151229,57000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,90,F,66,20151229,57000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,432,F,66,20151229,57000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,612,F,68,20151214,76000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,432,F,68,20151214,76000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,276,F,68,20151214,76000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,570,F,68,20151214,76000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,48,F,68,20151214,76000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,360,F,54,20170713,30000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,192,F,54,20170713,30000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,420,F,54,20170713,30000.0,5.0,5.0,5.0,bogo,0.0,1,1,1
offer completed,636,M,20,20160102,43000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,6,M,20,20160102,43000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,210,M,20,20160102,43000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,516,M,20,20160102,43000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,516,M,20,20160102,43000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,186,M,56,20171106,35000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,468,M,56,20171106,35000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,138,M,56,20171106,35000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,594,M,56,20171106,35000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,510,M,61,20150829,100000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,510,M,61,20150829,100000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,204,M,61,20150829,100000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,60,M,61,20150829,100000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,324,M,72,20180122,45000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,84,M,72,20180122,45000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,504,M,72,20180122,45000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,408,M,72,20180122,45000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,396,M,72,20180122,45000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,570,M,61,20171014,78000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,198,M,61,20171014,78000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,570,M,61,20171014,78000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,174,M,61,20161202,34000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,420,M,61,20161202,34000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,66,M,61,20161202,34000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,552,F,75,20180502,109000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,228,F,75,20180502,109000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,510,F,57,20151119,116000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
offer completed,336,F,57,20151119,116000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,282,M,52,20160825,95000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,420,M,52,20160825,95000.0,2.0,10.0,7.0,discount,0.0,1,1,0
offer completed,72,M,52,20160825,95000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,504,M,52,20160825,95000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
offer completed,240,F,60,20180322,51000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,66,F,60,20180322,51000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,444,F,74,20171130,72000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,384,F,74,20171130,72000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,516,F,74,20171130,72000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,24,F,74,20171130,72000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,546,F,23,20151108,33000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,168,F,23,20151108,33000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
offer completed,426,F,23,20151108,33000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
transaction,372,F,23,20151108,33000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,18,F,23,20151108,33000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,156,M,27,20180710,39000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,606,M,27,20180710,39000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,438,M,27,20180710,39000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
offer completed,348,M,59,20170715,76000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,78,M,59,20170715,76000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,618,F,74,20161111,91000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,354,F,74,20161111,91000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,618,F,74,20161111,91000.0,5.0,5.0,5.0,bogo,0.0,1,1,1
offer completed,126,F,74,20161111,91000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,90,M,55,20170912,79000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,498,M,55,20170912,79000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,426,F,87,20180717,77000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,546,F,87,20180717,77000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,300,F,87,20180717,77000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,528,F,53,20151030,88000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,474,F,53,20151030,88000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,204,F,53,20151030,88000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
